instrument_id,variant,key,midi,fundamental_hz,bore_id_fired_in,wall_thickness_fired_in,od_fired_in,acoustic_length_in,end_correction_total_in,sounding_length_embouchure_to_foot_fired_in,head_margin_fired_in,foot_trim_band_fired_in,pretrim_overall_length_fired_in,embouchure_center_from_head_fired_in,embouchure_x_length_fired_in,embouchure_y_width_fired_in,master_overall_length_x_in_initial,master_bore_y_in_initial,master_od_y_in_initial,master_od_z_in_initial,bore_profile,clay_body_round_1,status
SCF-D4-01,Low D reference,D4,62,293.665,0.748,0.14,1.028,23.074,0.449,22.625,1.122,0.5,24.247,1.122,0.471,0.389,27.554,0.85,1.168,1.168,cylindrical baseline,Cone 6 stoneware,Round 1 target fired dimensions
SCF-F4-01,F middle,F4,65,349.228,0.669,0.135,0.939,19.403,0.401,19.001,1.004,0.5,20.505,1.004,0.421,0.348,23.301,0.76,1.067,1.067,cylindrical baseline,Cone 6 stoneware,Round 1 target fired dimensions
SCF-G4-01,G middle,G4,67,391.995,0.669,0.13,0.929,17.286,0.401,16.885,1.004,0.5,18.388,1.004,0.421,0.348,20.895,0.76,1.056,1.056,cylindrical baseline,Cone 6 stoneware,Round 1 target fired dimensions
SCF-A4-01,A small alto,A4,69,440.0,0.591,0.125,0.841,15.4,0.355,15.045,0.886,0.5,16.432,0.886,0.372,0.307,18.673,0.672,0.956,0.956,cylindrical baseline,Cone 6 stoneware,Round 1 target fired dimensions
SCF-C5-01,C soprano,C5,72,523.251,0.512,0.115,0.742,12.95,0.307,12.643,0.768,0.5,13.911,0.768,0.323,0.266,15.808,0.582,0.843,0.843,cylindrical baseline,Cone 6 stoneware,Round 1 target fired dimensions
